imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2273657,,True Story (2015),,,,,,,,,,,,,,,,,,,,,,"$3,784","$91,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,198",,"$199,874",,,,,,,,,,"$214,608",,,
3165612,,Sleeping with Other People (2015),,"$51,374",,,"$80,888",,,,,,,,"$8,151",,,,,,"$31,083",,,"$570,334",,,"$30,017",,"$175,268",,,,,,"$17,850",,"$11,571","$51,678","$38,143",,,"$194,258","$7,134",,,,,,"$101,494","$50,459",,"$101,951","$24,346","$9,045",,"$16,124","$12,310","$77,198","$44,671","$3,673",,,,,"$21,453",,,"$55,686","$199,809","$15,030",,,
4229236,,Cobain: Montage of Heck (2015),,"$222,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4185572,,The Hunting Ground (2015),,,,,,,,,,,,,,,"$405,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,198",,,,,,,
2891174,,99 Homes (2014),,"$121,234",,,,,,,,,,,,,,,,,,,,,,,"$32,860",,,$455,,,,,,,,"$2,764",,,,,"$71,041",,"$11,897",,,,,"$14,193",,,,,,,,,"$92,669",,,,,,,,,,"$11,355","$57,837",,,
2494384,,Aloft (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,283",,,,,,,,,,,,,"$184,602",,,,,,,,,,,,,
3090634,,Eden (2014),$403,,"$12,431",,"$4,894",,,,,,,,,,"$65,460",,,,,,,"$204,434",,,,,,"$12,965",,,,,,,,,,,"$69,609",,,,"$8,590",,,,,,,,,,,,,,,"$36,161",,,,,,,"$1,451",,"$97,434",,,,
3655522,,Girlhood (2014),,,,,"$43,023",,,,,,,,,,,,,,,,,"$1,623,908",,,,,,"$1,372",,,,,,,,,,,,,,,"$8,031",,,,,,,,,,,,,,,"$24,399",,,,,,,,,,"$101,492",,,
3534602,,The D Train (2015),,,,,,,,,,,,,,,,,,,,,,,"$66,209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,586",,,,,,,,,,"$13,233",,,
3172532,,The Diary of a Teenage Girl (2015),,,,,"$30,004",,,,,,,,,,,,,,,,,,"$61,306",,,,,,,,,,,,,,,,"$2,985",,,,,,$865,,$959,"$10,462",,,,,,,,"$7,437",,"$18,346","$39,922",,,,,,,,,"$125,845",,,
3850214,,Dope (2015),,,,,,,,,,,,,,"$3,241",,,,,,,,"$131,397","$71,910",,,,,,,,,,,,,,,,,"$201,096","$18,705",,,,,,,,,,,,,,,"$2,717",,"$2,436",,,,,,,,,,,,,
3640682,,I Smile Back (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,635",,,,
2582496,,Me and Earl and the Dying Girl (2015),,"$342,021","$33,005",,"$37,520",,,,"$19,266",,,,,"$29,630",,,,,,,,"$11,945","$25,799",,,"$24,225",,,,,,,,,,,,,"$34,493",,"$90,971",,"$14,976",,,"$34,161",,,,,,,"$71,070",,,"$18,133",,"$188,131",,,,,,,,,,"$1,126,638",,,
4104022,,People Places Things (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$110,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3566788,,Songs My Brothers Taught Me (2015),,,,,,,,,,,,,,,,,,,,,,"$112,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420293,,The Stanford Prison Experiment (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,553",,,
4145304,,Unexpected (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,416",,,,
1598642,,Z for Zachariah (2015),,,,,,,,,,,,"$4,088",,,,,,,,,,,,,,,,,,,"$192,212",,,,,,,,,,,,,,,"$6,931",,"$26,710",,,,,,,,"$14,116","$14,612",,,,,,,"$1,709",,,,,,,
3465916,,Stations of the Cross (2014),,,"$5,250",,"$7,311",,,,,,,,,,,,,,,,,,"$43,775",,,,,,,,,,,,,,,,,,,,$319,,,,,"$2,295",,,,,,,,,,"$14,054",,,,,,,,,,,,,
1846487,,Reality (2012),"$42,868",,,,"$39,255",,"$66,284",,,,,,,,,,,,,,,"$337,325",,,,,,,,,"$2,617,973",,,,,,,,,,"$2,786",,,,,,,"$32,253",,,"$20,834",,,,,,,"$93,604",,,,,,,,,,"$25,237",,,
0306456,,Amnèsia (2002),,,,,,,,,,,,,,,,,,,,,,"$170,565",,,,,,,,,"$2,000,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3962828,,In the Basement (2014),,,"$177,369",,,,,,,,,,,,,,,,$571,,,,,,,,,"$1,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,279",,,,,,,,,,,,,
1039960,,Estomago: A Gastronomic Story (2007),,,,,"$30,463",,"$302,539",,,,,,,,,,,,,,,"$28,466",,,,,,,,,,,,,,,,,,"$47,049",,,,,,,,,,,,,,,,,,"$262,827",,,,,"$5,517",,,,,,,,
1883180,,A Pigeon Sat on a Branch Reflecting on Existence (2014),,,"$80,415",,,,,"$7,765",,,,"$4,610",,,,,,,,,"$26,012",,,,,,,,,,"$351,839",,,,,,$750,,,,,,"$201,947",,,,"$5,622",,,,"$62,641",,,,,,,"$117,205","$390,636",,,,,,,,,,,,
2667960,,Miss Julie (2014),,,"$6,855",,$415,,,,,,"$8,657",,,,,,,,,,,"$81,251",,,,,,,,,,,,,,,,,,,,,"$40,148",,,,,"$26,189",,"$6,649",,,,,,,,"$311,670",,,,,,,,,,"$45,260",,,
1674057,,All Together (2011),"$111,615","$284,301","$422,032",,,,"$587,199",,,,"$174,468",,"$8,396",,,,,,,,,"$3,062,436","$3,037,758",,,,,,,,"$255,537",,,,,,,,,"$312,528",,,"$81,329",,,,,"$10,106",,,,$232,,,,,,"$387,303",,,,,,,,,,,"$57,483",,
3066630,,The Forbidden Room (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,678",,,
1850397,,The Loft (2014),,,"$149,850",,"$876,294","$3,959",,,,,,,,"$26,801","$6,002,684",,"$58,241","$18,185",,,,,"$1,598,240",,,"$98,079","$41,185",,,,,,"$8,501",,,"$145,833",,,"$484,957",,,,"$1,473",,"$88,083",,"$235,662",,,"$197,211","$646,959",,,,,"$10,846",,,"$4,652",,,,,"$65,555","$117,325",,"$139,827",,,,
1649443,,[REC] 4: Apocalypse (2014),"$217,205",,,,"$139,908",,,,,,,,,,,,"$124,607",,,,,"$1,799,681",,,,"$329,727",,,,,,,,,,,,,,,,,,,"$704,052",,"$182,292",,,,"$158,058",,,,,,,"$1,259,390",,,,,,,,,,,,,
3480796,,Vice (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$343,877",,,,,,,"$42,064",,,,,,"$120,531",,"$29,401",,,,,,,,,,"$274,666",,,,,,,,
0815890,,The Blue Elephant (2006),,,,,,,,,,"$538,636",,,,,,,,,,,,,,,,,,,"$805,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,269,061",,,,,,,
0348847,,Masai: The Rain Warriors (2004),,,,,,,,,,,,,,,"$7,650",,,,,,,"$267,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2366608,,Lost River (2014),,,"$9,704",,"$27,828",,,,,,,,,,,,,,,,,"$335,454",,,,,,,,,"$130,371",,,,"$1,256",,,,,,,,,,,"$15,070","$28,375",,,,,,,,,,,"$18,324",,,,,,"$3,687",,,,,,,
1401643,,Black Venus (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,964",,,,,,,,,,,,"$3,946",,,,,,,,,,,,,,,,,,,,
3660370,,Party Girl (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583737,,Unforgivable (2011),,,,,"$69,332",,,,,,,,,,,,,,,,,"$1,099,385",,,,,,,,,,,,,,,,,,,,,,,,,,"$6,115",,,"$22,125",,,,,,,,,,,,,,,,,,,,
2929890,,In the Name of My Daughter (2014),,,,,"$4,951",,,,,,,,,,,,,,,,"$18,711","$2,127,384",,,"$109,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378079,,Scorpion in Love (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,589",,,,,,,,,,,,,,,,,,,,
1037222,,Cody the Robosapien (2013),,,,,,"$3,209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$191,504",,,,,$543,"$54,817",,,,"$1,904",,,,"$36,178",,,,,,,,,,,,,,,"$2,347",,,
1823125,,Greetings from Tim Buckley (2012),,,,,,,,,,,,,,,,,,,,,,,,,,$998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2418440,,Three Many Weddings (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$400,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,005",
3460252,,The Hateful Eight (2015),"$999,468","$10,872,430","$2,016,000",,"$1,754,496",,"$2,176,029","$110,031","$314,923",,"$81,094","$167,906","$816,386","$2,159,266","$54,117,416",,,,,,"$1,286,245","$12,377,651","$13,251,349",,"$552,337","$231,912","$623,695","$113,682","$160,648",,"$9,183,988","$2,060,447",,,"$80,573","$58,125","$143,329",,"$733,865","$3,481,841","$724,301",,"$1,958,495","$16,566","$164,744",,"$1,793,644","$438,173",,"$342,884","$6,432,602","$128,302","$165,361","$232,900","$103,969","$95,844","$848,222","$5,270,602","$2,645,782",,"$845,121","$1,669,594","$216,434","$191,822","$679,805","$350,147","$263,808","$10,425,114","$69,352",,
2192888,,The Anderssons in Greece (2012),,,,,,,,,,,,,,,,,,,,,"$108,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,619","$7,170,719",,,,,,,,,,,,
2652476,,The Little Penguin Pororo's Racing Adventure (2013),,,,,,,,,,"$940,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$248,467",,,,,,"$5,803,451",,,,,,,,,,"$70,035",,,,
3119416,,Stray Dogs (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,140",,,,,,,,,,,,,,,,,,,,,,,
2231253,,Wild Card (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$58,449",,,,,,,,,,"$53,963","$230,295",,,,,,,
0392883,,Valley of Flowers (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,915",,,,,,,,,,,,,,,,,,,,
2474438,,Attila Marcel (2013),,,,,,,"$59,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$190,335",,,,,,"$596,188",,,,,,,,,,,,,,
3622592,,Paper Towns (2015),"$1,035,269","$3,782,146","$345,322","$73,996","$843,592","$57,913","$5,887,536","$31,713","$639,645",,"$387,998","$80,103","$156,783","$583,234",,,"$397,355",,"$58,847",,"$435,666","$3,105,831","$2,795,437",,"$22,657","$514,453",,"$40,331",,"$227,888","$3,106,315",,"$67,357","$10,952","$41,368","$157,678","$60,266","$350,971","$4,407,702","$1,303,034","$547,977","$8,125","$866,226","$15,566","$317,980","$1,044,602","$632,982","$357,589","$55,464","$123,512","$870,146","$57,061","$457,078","$97,768","$26,966","$196,109",,"$2,234,705","$1,170,446",,"$220,530","$264,332",,"$98,448",,"$80,056",,"$5,242,976","$90,292","$980,203",
3044244,,The Wonders (2014),"$32,109",,"$30,189",,"$72,481",,,"$4,381",,,,,,,"$73,378",,,,,,,"$1,127,672",,,"$23,566",,,,,,"$1,274,922",,,,,,,,,"$83,875",,,,,,,,,,,"$29,466",,,,,,,"$49,785",,,,,,,,,,,,,
0884732,,The Wedding Ringer (2015),,"$2,424,512","$323,052","$190,031",,,,"$225,786",,,,"$190,279",,,,,,"$21,340","$38,538","$10,159",,,"$851,510","$31,211",,,"$340,472","$59,275",,"$479,437",,,"$53,611","$42,817","$29,490","$197,722","$53,732","$344,803",,,"$270,020","$227,187",,"$61,278",,"$142,809",,"$154,143","$159,095","$447,202",,"$65,936","$336,044","$25,675","$79,374","$641,682",,"$575,473","$287,893",,,,,,,,"$897,994","$3,189,135","$90,800","$621,201","$93,615"
1379228,,Naan Kadavul (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$380,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2132486,,The Gruffalo's Child (2011),,,,,"$1,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,229",,,,,,,,,,,,,"$17,465",,,
2535470,,Wyrmwood: Road of the Dead (2014),,"$96,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,769",,,,
3181822,,The Boy Next Door (2015),"$21,262",,"$483,430",,,,"$295,817","$39,414","$33,929",,"$242,649","$40,067",,,,,"$74,676",,"$27,848",,,"$177,792","$2,411,675",,,"$48,022","$202,360",,"$54,502","$405,723","$738,410",,"$22,422",,"$36,178","$162,481","$39,079","$295,408","$1,367,745","$591,939",,"$17,441",,"$26,467","$148,402","$500,285","$343,097","$125,633",,,"$939,603","$31,419","$178,155",,"$35,759","$139,293",,"$1,559,502",,,,"$278,639","$175,222",,,"$368,836","$375,947","$1,229,883","$43,691","$224,202",
3007302,,Boy Meets Girl (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,166",,,,,,,,,,,,,,,,,,,,
2101383,,Knight of Cups (2015),,,"$16,434",,"$26,169",,,,,,,,,,,,,,,,"$13,534","$102,931","$144,174",,,,,,,,,,,,,,,,,"$64,402",,,,,,,,"$56,396",,,,,,,,"$2,425","$10,043",,,,,,"$4,121","$4,754",,,,"$14,899",,,
3544082,,45 Years (2015),"$135,142","$511,971","$148,882",,,,"$138,503",,,,,"$1,849",,"$205,504",,,,,,,"$345,368","$827,543","$1,044,405",,,"$24,050","$8,284","$8,539",,,"$580,899",,,,,"$9,379","$2,163",,"$82,493","$1,160,962","$291,048",,"$574,447",,,,,"$79,921",,,"$8,365",,,,"$23,831",,"$146,270","$599,421","$357,526",,,"$164,655","$38,698","$11,493","$14,627",,"$4,588","$2,632,138",,,
2711898,,Journal d'une femme de chambre (2015),,,,,"$69,133",,"$26,758",,,,"$1,637",,,,"$54,235",,,,,,,"$1,723,277",,,,,,,,,,,,,,,,,"$50,370",,,,,,,,"$5,142",$815,,"$11,173",,,,,,,,,,,"$29,522",,,,,,,,,,
4135844,,Ixcanul (2015),,,,,"$47,995",,,,,,,,,,,,,,,,,"$242,266","$4,789",,,,,,,,,,,,,,,,,,,,"$4,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037228,,Cloud 9 (2008),"$56,116",,"$181,125",,"$10,441",,,,"$37,480",,"$52,628",,,,"$91,675",,,,,,,"$85,830","$3,874,417",,,,$68,,,,"$145,980",,,,,,,,,"$53,115",,,"$69,885",,,,,"$10,526",,,"$2,034",,,,,,"$5,363","$155,768",,"$84,994",,,,,,,,"$28,302","$8,824",,
4226388,,Victoria (2015),,"$53,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,336",,,,,,,,,,,,$304,,,,,,,,,,,,,,,,,,,,
2042583,,The Golden Dream (2013),,,,,,,"$14,759",,,,"$12,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$906,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3409392,,Timbuktu (2014),,,"$92,724",,"$347,058",,,,,,,,,"$36,665",,,,,,,,"$4,152,207","$152,939",,"$22,713",,,,,,"$462,816",,,,,,,,"$152,897","$244,660",,,,,,,,,,,,,,,,,,"$411,238",,,,,"$13,934",,"$13,465",,,,,,
1303803,,Standing Ovation (2010),,,,,,,,,,,,,,,"$531,806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,612",,,,
2474024,,The Last Five Years (2014),,,,,,,,,,,,,,,,,,,,,,,,,,"$35,859",,,,,,,,,,,,,,,,,,,,"$34,441",,,,,,,"$16,939",,,,,"$2,138",,,,,"$22,140","$35,148",,,,,,,
2554274,,Crimson Peak (2015),"$929,644","$1,395,175","$427,033",,"$432,701","$30,346","$984,782","$120,557","$123,367",,"$130,469","$48,801","$152,669","$151,296",,,"$164,964","$40,266","$58,849",,"$327,822","$2,024,103","$1,939,635",,"$559,568","$336,551","$205,191","$30,978",,"$21,501","$2,058,385",,,"$5,530","$60,339","$47,658","$59,704","$543,696","$5,716,941","$563,879","$209,163",,,"$12,703","$183,657","$207,244","$375,169","$343,225",,"$209,912","$4,783,752","$27,852","$462,003","$71,044","$31,381","$122,633","$312,156","$3,437,403","$653,402",,"$43,423","$74,691","$935,400","$163,589","$189,800","$493,594","$407,444","$3,604,199","$19,406",,"$549,306"
4168188,,Chaar Sahibzaade (2014),,"$544,837",,,,,,,,,,,,,,,,,,,,,,,,,,,"$263,975",,,,,,,,,,,,"$105,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2132374,,Life's a Breeze (2013),,,,,,,,,,,,,,,"$3,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$99,668",,,
1235537,,Mahler on the Couch (2010),,,"$173,233",,,,,,,,,,,,,,,,,,,,"$579,981",,,,,,,,,,,,,,,,"$19,294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123970,,Phantom Pain (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,574",,,,,,,,,,,,,,,,,,,,
2637294,,Hot Tub Time Machine 2 (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,163",,,,,,,,,,,,,,,"$1,088",,,,,,,,"$374,043",,,,,,,,,,,,,,,,,"$132,158",,,
0447619,,The Stone Council (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$390,000",,,,,,,,,,,,,,,,,,,,
1314237,,The French Kissers (2009),,"$57,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3467440,,Up in the Wind (2013),,,,,,,,,,"$11,780,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3877718,,Tokyo Fiancée (2014),,,,,,,,,,,,,,,,,,,,,,,,,,"$42,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290553,,Northmen: A Viking Saga (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$350,303",,,,,,,,,,,,,"$837,203",,,,,,,,,,,,,,,,,,,,"$51,111"
2436452,,Exhibition (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2933474,,Superfast! (2015),,,,,,,"$287,851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$419,987",,,,,,,,,,,,,"$254,839",,,,,,,"$9,475"
1605798,,Effie Gray (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$368,609",,,
2392672,,Reality (2014),,,,,"$10,490",,,,,,,,"$2,237",,,,,,,,,"$408,492",,,,,,,,,,,,,,,,,,,"$5,601",,,,,,"$2,400",,,,,,,,,,,,,,,,,,,,,,,,
2381941,,Focus (2015),$707,"$6,675,972","$308,212",,"$1,306,251",,"$5,090,837","$240,064","$461,655",,"$2,139,051","$209,714","$145,934","$536,145",,,"$631,059","$656,749","$148,184",,"$105,407","$5,335,745","$3,082,610",,"$568,091","$682,865","$33,989","$68,459","$393,049","$746,885","$5,680,356","$3,657,012","$111,683","$367,528","$159,787","$483,712","$101,165","$405,795","$8,410,724","$2,885,683","$667,314",,$397,"$191,816","$979,141","$383,629","$771,233","$644,937",,"$796,937","$10,283,707","$82,393","$414,700","$163,809","$47,326","$753,095","$494,204","$4,638,701","$978,809",,"$462,192","$707,980","$1,116,630","$321,292","$315,037","$202,923","$2,571,083","$10,972,916","$158,963",,"$13,673"
