imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
4694544,,Once Upon a Time in Venice (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$194,548",,,,,,"$47,010",,,,,,,,,,,,,
6322922,,An Inconvenient Sequel: Truth to Power (2017),,,"$251,752","$61,967",,"$56,375",,"$15,412",,"$1,274",,"$3,764",,,,,"$3,358",,,,,,,"$182,713","$306,063",,,,"$31,167",,,"$4,662","$9,084","$11,260","$15,623",,"$41,091",,,,,,,"$3,128",,,"$62,409","$102,086",,,"$30,578",,,"$17,198",,"$8,440","$5,284",,,,,,,"$14,707",,,"$8,503",,"$14,728","$83,239","$127,963","$24,950","$23,820",,,,"$5,079","$409,454",,,
5606538,,Confidential Assignment (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,559",,,,,,,,,,,,,,,,,,,,"$55,481,157",,,,,"$2,907",,,,,,,,
6273736,,Vanishing Time: A Boy Who Returned (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,436",,,,,,,,,,,,,,,,,,,,"$3,268,916",,,,,,,,,,$406,,,
3469798,,Órbita 9 (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$124,234",,,,,,,,,,,,,,,,,,,
4273562,,Yu-Gi-Oh!: The Dark Side of Dimensions (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$217,369",,"$5,814,265",,,,,,,,,,,"$16,661",,,,,,,,,,,,,,,,,,,,"$212,330",,,,,"$14,552",,,,"$13,851","$140,819",,,
3424690,,Havenhurst (2016),"$37,428",,,,,,"$9,927",,,,,"$130,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,916",,,,,,,"$68,367",,,,,,,,,,,,,,,"$36,897",,,,
4287434,,Chasing Trane: The John Coltrane Documentary (2016),,,,,,,,,,,,,,,,,,"$406,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0235679,,Pokémon 3 the Movie: Spell of the Unown (2000),,,"$549,902","$327,752",,,,,,,,,,,,,"$277,444",,,,,,,,"$2,736,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$714,016",,,
0287635,,Pokemon 4Ever: Celebi - Voice of the Forest (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$79,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4717402,,MFKZ (2017),,,,,,,,,,,,,,,,,,,,,,,,"$232,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0997282,,Solstorm (2007),,,,,,,,,,,,,,,,,,,,,,,"$17,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$59,571","$2,714,992",,,,,,,,,,,
3371366,,Transformers: The Last Knight (2017),"$5,457,359",,"$9,171,848","$1,694,000",,"$1,539,767","$892,363","$13,704,332","$332,048","$2,662,845","$228,842,508","$4,031,824",,,,"$36,984","$1,033,786",,,,,,"$539,333","$10,986,587","$15,415,894",,"$321,120",,"$4,990,590","$849,565","$114,431","$4,865,527","$11,712,577","$456,756","$5,454,342",,"$15,690,606",,,,,,"$178,688","$8,010,315","$15,334,443",,"$2,196,812","$1,705,534",,,"$1,029,050",,,"$4,318,242","$212,599","$4,219,602","$5,646,985","$3,045,986","$839,170",,"$843,338","$15,890,358",,"$4,444,479","$303,217","$74,730","$1,580,482","$19,243,751","$3,971,313","$1,796,328","$1,216,556","$7,138,047","$4,909,670",,"$2,808,452","$1,630,808","$2,994,238","$12,191,514","$114,260","$601,576",
5078134,,A Woman's Life (2016),"$44,908",,,,,,,,,,,,,,,,,,,,,,,"$674,736",,,,,,,,,,,"$21,521",,,,,,,,,,,,"$47,611",,,,,,,,,,,,"$13,119",,,,,,,,,"$18,621","$22,192",,,,,,,,,"$15,610",,,
2282849,,Porn in the Hood (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,403",,,,,,,,,,,,,,,,,,,
1746246,,Dark World (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,347,426",,,,,,,,,,,,,,"$281,571",,,,,
2592500,,"S Novym godom, mamy! (2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,896,035",,,,,,,,,,,,,,,,,,,
3877844,,Yolki 1914 (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,727,769",,,,,,,,,,,,,,,,,,,
1820462,,Beremennyy (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,370,040",,,,,,,,,,,,,,,,,,,
2649152,,Chto tvoryat muzhchiny! (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,963,953",,,,,,,,,,,,,,,,,,,
1194607,,The Ghost (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,401,660",,,,,,,,,,,,,,,,,,,
3121434,,Yolki 3 (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,876,863",,,,,,,,,,,,,,,,,,,
1108855,,Montana (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,904,119",,,,,,,,,,,,,,,,,,,
1666169,,Love-Carrot 3 (2011),,,,,,,,,,,,,,,,,,,,,,"$18,711",,,,,,,,,,,,,,,,,,,"$29,522",,"$27,996",,,,,,,,,,,,,,,,,,,"$8,457,645",,,,,,,,,,,,,,"$854,848",,,,,
1490759,,Unresolved Sexual Tension (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$341,,,,,,,,,,,,,,,,,"$284,138",,,,,,,"$2,722,780",,,,,,,,,,,,
2674454,,Churchill (2017),,,"$1,280,218",,,,,,"$11,413",,,"$160,340",,,,,,,,,,,,"$158,965",,,,,,,,,,,,,,,,,,,,,"$401,853",,,"$309,514",,,,,,,,,,,"$129,301",,,,,,,"$7,555","$69,759",,"$664,240",,,,,,"$22,525",,"$25,516","$2,201,908",,,
4915318,,Cave (2016),,,,,,,"$19,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$340,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809287,,Ecstasy (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,756",,,,,,,,,,,,,,"$23,946",,,,,,,,,,,,,,,,,,,
6333058,,Dina (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,021",,,
5882970,,Tubelight (2017),,,"$347,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$199,313",,,"$29,625",,,,,,,,"$4,639",,,,,,,,,,"$23,020",,,,,,,,"$2,334,633","$781,250",,,
5153236,,Hampstead (2017),,,"$2,212,907",,,,,,,,,,,,,,,,,,,,"$51,675",,,,"$51,075",,,,,,,,"$347,685",,,,,,,,"$12,970",,,,"$271,429","$537,765",,,"$40,966",,,,,,,,"$51,094",,,,,,,,"$63,805","$54,433","$386,001",,,,,,,,,"$2,108,970",,,
1334035,,Ochen russkiy detektiv (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,080,782",,,,,,,,,,,,,,,,,,,
0814380,,Notte prima degli esami - Oggi (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,544,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$760,,,,,,,,,
5072406,,Moka (2016),,,,,,,,,,,,,,,,,,,,,,,,"$1,347,232",,,"$16,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6175078,,Luck-Key (2016),,,"$52,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,118",,,,,,,,,,,,,,,,,,,,"$48,366,216",,,,,,,,,,"$9,494",,,
4846232,,Good Time (2017),"$25,996",,"$120,524",,,,"$4,193",,,,,$511,,,,,,,,,,,"$8,860","$705,126",,,"$3,247",,,,"$4,976",,,,,,,,,,,,"$5,129",,,,"$125,933",,,,"$15,062",,,,,,,,"$14,923",,,"$126,563",,,"$3,191",,,"$20,972",,,,,,,"$25,429",,"$1,236","$44,999",,,
4401006,,Eat Locals (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,883",,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,677",,,,,,,,,,,,,,,"$9,943",,,,
0381111,,Crusade in Jeans (2006),,,,,,"$691,904",,,,,,,,,,,,,,,,,,,"$8,071",,,,,,,,,,,,,,,,,"$2,319",,,,,"$4,055,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,258",,,,
6461514,,Duckweed (2017),,,,,,,,,,,"$152,405,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4481514,,The House (2017),,,"$3,466,083",,,,,,"$43,873",,,,,,,,,,,,,,"$71,819",,"$48,000",,"$63,757",,,"$325,078","$72,670",,,,,,,,,,,,,,"$43,021",,,"$293,301",,,"$165,908",,,,,,,,,,"$314,275",,,,"$49,559","$29,398","$253,528",,,,,,,,,"$174,682","$541,144","$1,500,000",,,
5897636,,Summer 1993 (2017),"$16,702",,"$212,571",,,,,,,,,"$22,415",,,,,,"$185,903",,,,,,"$81,933",,,,,,,"$1,421",,,,,,,,,,,,$528,,,,"$41,945",,,,"$20,372",,,,,,,,"$5,919",,"$2,977",,,,,,,"$21,016","$2,346,956",,,,,,"$9,143",,,"$6,346","$12,868",,
5247776,,Return to Montauk (2017),,,,,,,,,,,,"$30,892",,,,,,,,,,,"$10,410","$187,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,369",,,,,,,,,,"$94,238",,,,,,,,,"$1,445",,,
5452964,,Don't Call Me Son (2016),,,,,,,,"$139,044",,,,,,,,,,,,,,,,"$49,519",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,404",,,,,,,,,,"$4,342",,,,,,,,,,,,
0238891,,One Hundred Steps (2000),,,,,,,,,,,,,,,,,,,,,,,,"$25,002","$191,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0345561,,"The Legend of Al, John and Jack (2002)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000",,,,,,,,,,,,,,,,,,,
1610525,,Chuck (2016),,,,,,,,,,,,"$8,415",,,,,,,,,,,,"$100,323",,,"$9,752",,,,"$5,475",,,,,,,,,,,,,,,,"$37,025",,,,,,,,,,,,"$10,119",,,"$1,321",,,,,,,,,,,,,,,"$9,363",,,,
1131724,,2:22 (2017),,,,,,,"$17,230",,,,"$355,375","$160,415",,,,,,,,,,,,,,,,,,,,,,,"$1,205,606",,,,,,,,,,"$289,702",,"$680,850",,,,,,,,,,,,"$67,373",,,"$661,848",,,,,"$34,720",,,,,,"$126,037",,"$139,100","$48,930","$158,121",,,,
5091612,,A Bag of Marbles (2017),,,,,,,,,,,,"$64,272",,,,"$19,702",,,,,,,,"$9,053,399",,,"$57,658",,,,,,,,"$922,884",,,,,,,,,,"$76,512",,,,,,,,,,,,,,"$18,899",,,,,,"$6,586",,,,"$263,597",,,,,,,,"$4,171",,,,
4746506,,Sweet Dreams (2016),"$83,517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,061",,
1576385,,El mural (2010),"$137,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$53,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0388213,,Loverboy (2005),,,,,,,,,,,,,,,,,,"$33,223",,,,,,,,,,,,,,,,,"$20,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0404552,,The Life (2004),,,,,,,"$7,721",,,,,,,,,,,"$5,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,167",,,,,,,,,,,,,,,,,,,
5705058,,Marie Curie: The Courage of Knowledge (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$76,656",,,,,,,,,,,,,,,,,,,,,,,"$1,389,014",,,,,,,,,,,"$350,736",,,,,,,,,,,,
6333056,,City of Ghosts (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$59,417",,,
4372240,,78/52: Hitchcock's Shower Scene (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,174",,,
3722614,,Revolt (2017),,,,,,,,,,,"$15,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,986",,,,,,,,
1648190,,The Dark Tower (2017),"$667,094","$23,412","$2,513,760","$591,545","$202,183","$466,861","$73,683","$4,038,621","$220,228","$279,645",,"$781,246",,"$124,686",,"$253,265","$406,305",,"$37,668","$357,181","$159,976","$107,116","$309,927","$3,019,623","$3,718,808","$9,458","$293,987",,"$437,600","$507,091","$74,490","$89,576","$1,081,996","$279,846","$2,745,937","$75,887","$1,348,519","$50,036","$54,869","$275,534","$55,452","$122,737","$57,554","$1,126,352","$3,536,813","$12,005","$1,627,195","$497,610",,"$114,375","$313,338","$143,875","$39,808",,"$23,286","$380,333","$753,412","$983,723","$790,612","$256,560","$635,103","$8,853,364","$62,791","$515,779","$96,812","$30,561","$522,616","$669,330","$2,909,457","$618,551","$426,657","$893,495","$1,018,203","$255,193","$1,306,756","$947,693","$1,766,768","$3,563,671","$48,307","$234,737","$285,230"
2296747,,Come What May (2015),,,,,,"$21,484",,,,,,,,,,,,,,,,,,"$1,048,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$202,244",,,,,,,,,,,,
3501112,,Security (2017),,,,,,,"$23,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$175,927",,,,,,,,,,,,,,,,,"$33,501",,,,,,,,,,,"$21,116",,,,,,,,
0302436,,To Kill a King (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$301,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935194,,Overdrive (2017),,,,,,,"$35,989",,"$26,045",,,"$151,912",,,,"$31,300",,,,,,,,"$3,069,977",,,"$72,810",,,"$95,925",,,,,"$1,521,843",,"$531,906",,,,,,"$31,851",,"$641,858",,"$662,381",,,,,,,,,,,,"$299,358",,"$182,899","$855,019",,,"$30,611","$14,160","$227,371","$9,028",,,,,"$303,860",,"$111,301","$136,910","$520,437","$78,008",,,
6041312,,Human Surge (2016),$758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160022,,Rumba (2008),"$67,362",,,,,,,"$145,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,208",,,,"$5,159",,,,,,,"$1,644",,
5890000,,Survival Family (2016),,,,,,,,,,,"$1,692,719",,,,,,,,,,,,,,,,,,,,,,,,,,"$5,190,126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3956312,,My Old Classmate (2014),,,,,,,,,,,"$73,050,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4610748,,Devil's Gate (2017),,,,,,,"$22,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5247544,,150 Milligrams (2016),,,,,,,,,,,,"$27,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440146,,What War May Bring (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$145,531",,,,,,,,,,,,,,,,,,,
1172974,,8 Dates (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,488",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,354,462",,,,,,,,,,,,
1891942,,Nicostratos the Pelican (2011),,,,"$7,919",,"$17,115",,,,,,,,,,,,,,,,,,"$468,111","$119,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$142,362",,,,,,,,,,,,,,,,,,,
1849844,,Puzzled Love (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,557",,,,,,,,,,,,,,,,,,,
0864918,,Trivial (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$59,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0348841,,I'm Staying! (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,081",,,,,,,,,,,,,,,,,,,
4119030,,Sunstroke (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,660,558",,,,,,,,,,,,,,,,,,,
1342408,,Normal the Düsseldorf Ripper (2009),,,,,,,,,,,,,,"$293,007",,"$310,910",,,,,,,,,,,,,,,,,,,"$11,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0368962,,Mirage (2004),,,,,,,,,,,,,,,,,,"$2,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$911,551",,,,,,,,,,,,,,,,,,,
6070530,,Groom (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,483,971",,,,,,,,,,,,,,,,,,,
1482229,,Realnyy papa (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,875,014",,,,,,,,,,,,,,,,,,,
4877122,,The Emoji Movie (2017),"$4,252,668","$43,076","$10,848,188","$1,172,488","$248,808","$2,382,171","$437,028","$7,593,186","$581,908","$2,335,717",,"$1,997,605",,"$132,190",,"$1,124,674","$1,565,433",,"$222,740","$1,291,229","$117,598","$291,887","$916,427","$5,622,976","$5,728,605","$8,401","$406,390",,"$1,242,993","$625,090","$191,694","$162,848","$539,975","$2,557,494","$3,899,454","$66,269","$33,279","$156,135","$52,717","$399,694","$286,912","$274,245","$308,777","$711,485","$7,728,730",,"$3,621,580","$1,286,553",,"$94,492","$1,328,842","$75,215","$25,663","$84,240","$121,028","$1,695,699","$643,510","$3,258,186","$1,828,799","$240,017","$702,867","$6,686,623","$50,784","$729,241","$480,454","$31,042","$1,301,104","$245,759","$7,721,590","$1,818,438","$1,096,413","$367,891","$214,365","$252,832","$412,026","$985,755","$1,288,692","$19,583,096","$495,820","$1,223,243","$199,665"
4998772,,Bedeviled (2016),"$75,387",,,,,,"$37,585",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,549",,,,,,,,,,,,,,,,,,,,,,,,"$13,686",,
3758708,,The Hippopotamus (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,850",,,,,,,,,,,,,,"$120,102",,,,,,,,,,,,,,,,,,,
2255934,,Aiyyaa (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5362988,,Wind River (2017),"$196,058",,"$651,268",,,"$302,563",,,"$35,718",,,"$52,513",,,,"$278,478",,"$33,800,859",,,,,,"$2,212,691",,,"$312,697",,,"$137,465",,,,,"$1,398,487",,,,,,,,"$30,233",,"$244,323",,"$668,890","$182,839",,,"$198,843",,,,"$4,423",,,,"$102,192",,,"$746,182",,,"$88,658","$22,071","$79,808","$48,541",,,,,"$39,855",,,"$38,224","$677,071","$1,622,497","$29,235",,
5540188,,The Nile Hilton Incident (2017),"$60,184",,,,,,,,"$2,528",,,,,"$2,181",,,,,,,,,,"$3,400,276",,,"$61,921",,,,"$2,219",,,,,,,,,,,,,,,,"$60,597",,,,,,,,,,,,,,,,,,,,,,"$284,042",,,,,,,,,"$11,179","$13,320",,
