Movie Name,United Kingdom,India,Australia,New Zealand,Malaysia,South Korea,Russia/CIS,Thailand,Domestic,France,Finland,Spain,Netherlands,Norway,Italy,Hungary,Czech Republic,Türkiye,Ukraine,Portugal,Colombia,China,Japan,Hong Kong,Taiwan,Philippines,Singapore,Germany,Poland,Belgium,Sweden,Austria,Switzerland,United Arab Emirates,Switzerland (German),Denmark,South Africa,Romania,Switzerland (French),Slovakia,Bulgaria,Lithuania,Iceland,Slovenia,Mexico,Brazil,Argentina,Chile,Venezuela,Israel,Greece,Bahrain,Estonia,Croatia,Lebanon,Latvia,Egypt,Oman,Jordan,Serbia and Montenegro,Bolivia,Uruguay,Vietnam,Peru,Paraguay,Indonesia,Dominican Republic,Qatar,Ecuador,Panama,Pakistan,Cambodia,Central America,Kuwait,Nigeria,Kenya,Ethiopia
Singh Is Bliing (2015),"$539,272","$18,480,073","$136,283","$78,822","$71,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Eyes of My Mother (2016),"$2,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captain Fantastic (2016),"$1,063,498",,"$770,326","$212,947","$16,317","$91,614","$176,004",,"$5,879,835","$3,901,383","$64,359","$786,083","$806,963","$224,359","$1,223,606",,"$215,729","$18,435","$28,676","$45,978",,,"$507,696","$49,165","$48,146","$4,778","$60,683","$2,214,718","$33,254","$523,647","$478,728","$195,509","$660,576","$18,460",,"$1,069,406","$39,127",,,"$14,599",,"$12,654","$11,221","$29,235","$187,867","$895,888","$94,008",,,"$305,655","$54,470",,"$16,385","$17,971","$20,618","$15,702","$3,973",,"$6,354","$4,497",,"$9,040",,"$13,551",,"$5,513",,,,,,,,,,,
Toni Erdmann (2016),"$196,839",,,"$81,957",,"$94,349","$105,657",,,"$2,425,518","$129,419","$556,353","$697,777","$296,564","$344,973",,"$26,191","$22,331",,"$34,513","$17,948",,,,,,,"$4,832,090",,,,,,,,,,"$24,536",,"$9,422","$6,150","$11,625","$18,615","$28,772","$7,566","$109,580",,"$12,000","$3,758",,"$207,394",,,,,,,,,,,,,"$2,289",,,$634,,,,,,,,,,
Neruda (2016),"$49,650",,"$452,433",,,"$46,471",,,,"$1,390,042",,"$88,511","$60,796",,"$385,252",,,"$29,993",,"$34,888","$69,239",,,,,,,,,,,,,,,,,"$2,384",,,,,,,,,"$133,513",,,,"$202,473",,,,,,,,,,,,,,,,,,,,,,,,,,
The Wailing (2016),"$2,013",,"$152,249","$14,899",,"$48,609,277",,,,"$278,011",,"$3,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,386",,,,,,,,,,,,
The Meddler (2015),"$69,417",,"$372,835",,,,,,"$4,267,218",,,"$354,865",,$232,,,,,,,,,,,,,,"$178,788",,,,,,,,,"$44,164",,,,,,,,,"$130,505",,,,,,,,,,,,,,,,,,"$7,124",,,,,,,,,,,,,
Now You See Me 2 (2016),"$7,858,234","$1,363,029","$6,943,961","$909,833","$2,795,235","$21,711,248","$17,357,569","$2,778,430",,"$15,058,312","$842,984","$5,504,161","$2,201,945","$422,539","$3,227,428","$1,187,825","$572,633","$2,962,006","$1,018,171","$1,560,264","$2,280,778","$97,115,220","$5,243,239","$3,974,103","$6,265,817","$2,162,443","$2,445,503","$2,935,447","$3,297,379","$2,230,356","$1,017,670","$720,418","$1,721,827","$3,085,188",,"$978,333","$837,943","$1,077,521",,"$430,380","$341,827","$157,922","$121,046","$104,515","$10,823,214","$7,759,032","$243,005","$1,310,728","$514,811","$1,140,928","$512,932","$509,560","$284,302","$331,294","$354,108","$283,858","$635,094","$115,128","$252,446","$100,034","$54,488","$216,037","$1,797,922","$1,536,873","$20,863",,,"$395,250","$595,557","$368,220","$141,899","$59,500",,,,,
Julieta (2016),"$1,759,197",,"$337,546","$74,378",,"$57,908","$297,006",,"$1,490,948","$4,985,061","$319,256","$2,409,860","$367,079","$126,460","$2,476,404","$29,152","$52,144","$81,989",,"$173,476","$117,253",,"$197,089",,,,"$11,006","$747,172","$432,922",,"$469,615",,,,"$271,011",,"$21,383","$13,264","$224,779","$15,138","$14,111","$25,348",,"$20,803","$375,676","$905,765","$670,556","$71,960","$30,588",,"$298,604",,,"$12,907",,,,,,,,"$65,944",,"$80,616",,,,,"$11,545",,,,,,,,
Café Society (2016),"$1,993,746",,"$785,719","$86,546",,"$934,963","$1,905,128","$25,870",,"$7,079,300","$170,500","$4,252,004","$651,504","$204,434","$4,034,370","$51,135","$67,920","$255,664","$120,783","$343,054","$115,156",,,,,,,"$1,155,184","$796,976",,"$359,696","$170,892","$856,261","$53,990",,"$331,192","$67,779",,"$368,549","$26,822","$20,672","$56,490",,"$14,987","$259,912","$2,025,506","$1,133,806","$40,517",,,"$770,281",,,"$23,760","$27,864",,,,,,"$8,849","$97,394",,,,,,,,"$6,836",,,,,,,
"I, Daniel Blake (2016)","$4,275,018",,"$484,750","$338,797",,"$575,285","$31,796",,,"$6,411,839","$98,792","$173,680","$765,666","$116,671","$1,412,911","$5,777",,"$40,788",,"$127,821",,,,,,,,,,,,,,"$11,317",,,,"$6,873",,,"$6,690",,"$4,260","$14,985",,"$183,166","$99,769",,,,"$242,729",,,,,,,,,,,"$7,965",,,,,,,,,,,,,,,
Swiss Army Man (2016),"$104,352",,,"$30,674",,,"$409,403",,,,"$14,750","$7,463",,"$51,924",,,,"$2,062","$41,648",,,,,,,,,,,,,,,"$62,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonas Brothers: The 3D Concert Experience (2009),"$409,245",,"$105,369","$18,657","$13,414",,,,,"$9,926",,"$355,798",,,"$54,974",,,"$9,188",,"$61,269","$154,214",,,,,"$31,915","$26,016",,,"$12,913",,,,"$33,794",,,"$15,708",,,,"$7,073","$4,820",,,"$1,035,798","$680,392","$313,395","$126,592","$48,520","$4,540",,,,,"$8,081",,,,,,"$22,952","$35,982",,"$260,710",,,,,"$129,717",,,,"$33,248",,,,
Graduation (2016),"$42,208",,"$3,167",,,"$24,094",,,,"$855,448","$11,927","$99,055","$51,930","$18,173","$419,147",,,"$14,624",,"$5,196","$14,691",,,,,,,,,,,,,,,,,"$155,654",,,,,$574,"$4,851",,,"$41,664",,,,"$76,624",,,,,,,,,,,,,,,,,,,,,,,,,,
Kapoor & Sons (2016),"$546,533","$12,456,265","$198,623","$95,006",,,,,,,,,,"$12,314",,,,,,,,,,,,,,"$22,430",,,,"$2,675",,"$1,367,226",,,,,,,,,,,,,,,,,,,,,,,,"$104,519",,,,,,,,,,,,,,,,,,,
The Ones Below (2015),"$29,799",,,,,,,,,"$66,090","$8,174",,,,,,,,,,,,,,,,,,,,,,,"$5,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teenage Mutant Ninja Turtles: Out of the Shadows (2016),"$8,719,985","$976,921","$4,785,792","$772,224","$3,241,524","$1,607,665","$9,600,759","$1,396,290",,"$5,599,359","$231,678","$1,785,915","$579,004","$258,168","$2,128,773","$168,337","$224,367","$1,099,213","$760,183","$320,109","$2,159,550","$58,933,101","$4,144,751","$676,125","$2,227,907",,"$1,711,423","$2,812,245","$206,970","$725,248","$387,010","$446,840","$212,952","$1,958,975",,"$259,459","$633,611","$238,469",,"$104,875","$203,679","$26,182","$77,796","$33,080","$9,358,823","$5,573,345","$1,992,608","$681,173","$7,306,069","$733,350",,,,,,,,,,,,,,"$2,030,922",,,,,,,,,,,,,
The Darkness (2016),"$144,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Popstar: Never Stop Never Stopping (2016),"$40,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troublemakers: The Story of Land Art (2015),"$9,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Conjuring 2 (2016),"$15,500,000","$9,400,000","$8,350,708","$1,550,647","$3,900,000","$14,127,168","$4,240,306","$1,499,058","$102,516,140","$11,312,824","$614,645","$7,188,139","$1,988,298","$2,081,616","$2,966,657",,"$650,461","$711,000","$183,114","$717,648","$6,000,000",,"$647,000","$1,700,000","$4,800,000","$4,200,000",,"$7,300,000","$2,648,144",,,,"$833,000","$1,816,630","$131,698",,"$557,369","$365,740",,"$388,891","$70,964","$205,541","$168,583","$71,219","$20,425,659","$17,121,025","$3,894,800","$1,850,000",,,,,,,,,,,,,,"$571,957",,,,"$12,500,000",,,,,,,,,,,
Weiner (2016),"$21,479",,,,,,,,,,,,"$18,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghostbusters (2016),"$14,167,996","$281,759","$9,303,411","$1,366,523","$2,028,401","$3,693,843","$4,870,811","$975,579",,"$3,611,960","$284,376","$3,645,960","$732,480","$652,681","$2,690,438","$171,824","$192,628","$450,541","$456,089","$321,342","$867,426",,"$11,926,411","$1,675,097","$1,375,624","$1,544,593","$1,603,552","$3,635,143","$317,721","$429,467","$1,405,308","$703,180","$298,601","$955,125",,"$409,771","$705,289","$144,342",,"$73,894","$72,467","$22,761","$107,878","$18,470","$6,637,061","$6,258,580","$1,322,493","$568,872","$164,832","$423,331","$174,743","$112,288","$55,429","$81,848","$75,796","$45,644","$29,237","$48,981",,"$22,171","$140,070","$144,903","$180,498","$1,351,999",,"$2,064,566",,"$143,511","$448,945",,,"$67,673",,,"$40,416","$25,004","$4,333"
Multiple Maniacs (1970),"$5,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell (2016),$51,,,,,"$27,263","$133,326","$34,264",,,,,,,"$324,295",,,"$115,734","$20,208","$32,933","$83,091","$189,981",,,,,,,,,,,,"$46,573",,,"$32,868",,,,,,,,"$161,629",,"$75,434",,,,,,,,,,,,,,"$45,362",,,,,,,,,,,,,,,,
Central Intelligence (2016),"$11,166,857","$277,000","$11,521,195","$1,267,406","$1,439,216",,"$1,725,000","$416,000",,"$4,074,626","$615,740","$3,499,879","$2,294,461","$1,325,511","$1,036,819","$580,809","$63,000","$130,752","$381,090","$843,499","$620,610",,,"$1,054,165","$1,132,989","$517,000","$1,212,000","$8,432,969","$467,663","$794,707","$1,845,573","$1,516,801","$1,836,398","$2,932,390","$394,140","$1,184,821","$2,272,185","$507,737",,"$39,025","$184,911","$80,844","$152,000","$127,703","$5,222,244","$1,576,925","$260,322","$132,109","$248,697","$2,590,185","$142,167",,"$166,000","$87,085","$641,667","$96,000","$253,028",,,"$105,231","$159,000","$304,777","$380,000","$697,000",,"$1,696,000",,,"$176,397",,,,,,,,
Aarakshan (2011),"$269,898","$7,678,044","$85,485","$13,505","$20,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chakravyuh (2012),"$78,358","$2,404,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dum Maaro Dum (2011),"$344,717",,"$114,935","$56,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$318,978",,,"$16,839",,,,,,,,,,,,,,,"$17,960",,,,,,"$37,073",,,,,,,,,,"$20,938",,,,,,"$16,913",,,
Te3n (2016),"$51,208",,,"$9,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Bourne (2016),"$28,987,049","$1,634,346","$16,744,094","$2,159,873","$1,445,505","$19,102,134","$4,145,165","$1,518,839",,"$11,669,747","$1,358,000","$6,297,456","$5,552,320","$3,332,499","$2,909,000","$616,057","$416,315","$1,410,769","$447,000","$1,152,330","$575,000","$66,904,818","$14,078,193","$2,196,983","$4,554,739","$2,433,034","$2,161,326","$9,198,962","$1,971,116","$1,373,589","$3,574,926","$1,038,635","$2,242,508","$2,812,000",,"$2,866,682","$1,127,921","$438,738",,"$163,486","$342,953","$84,736","$220,995","$123,168","$3,750,000","$3,373,221","$1,252,147","$204,653","$110,000","$908,000","$674,000",,"$191,126","$182,241","$404,000","$115,096","$302,527",,,"$152,754","$48,893","$66,000","$667,000","$742,000","$32,652","$3,477,211",,,"$227,000","$1,164,000","$336,524",,,,,,
Ghanchakkar (2013),"$214,779","$6,106,882","$35,650","$11,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oye Lucky! Lucky Oye! (2008),"$31,008","$1,865,823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tere Naal Love Ho Gaya (2012),"$283,219","$3,602,180",,$978,"$19,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Life Skills (2016),"$75,190",,,"$28,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Palma (2015),"$2,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Legend of Tarzan (2016),"$11,944,698",,"$9,152,029","$1,391,421",,"$6,297,340","$8,401,543","$1,624,030",,"$11,400,000","$977,025","$7,563,462","$4,661,786","$2,739,008","$5,000,000","$566,355","$277,003","$1,579,970","$759,098","$842,163","$2,500,000","$46,152,613","$6,600,000","$1,500,000","$2,800,000",,,"$5,700,000","$756,349",,"$4,330,000",,"$1,400,000","$3,631,878",,,"$1,282,077","$800,248",,"$230,187","$292,737","$103,289","$199,085","$58,691","$13,900,000","$10,856,748","$449,901",,,,,,,,,,,,,,,,,,,"$5,700,000",,,,,,,,,,,
The Purge: Election Year (2016),"$3,067,000",,,,"$691,065",,"$801,000","$445,470",,"$5,419,422",,"$3,075,450","$919,192",,"$1,672,000",,"$126,453","$460,364",,,"$471,000",,,"$282,818","$674,000","$1,078,000","$505,000","$5,699,788","$291,088","$508,152","$263,000","$272,983","$684,303","$637,000",,,,"$95,874",,"$83,251",,"$48,452",,"$21,553","$5,061,106","$163,561","$2,788,336","$398,337","$70,022",,"$108,265",,"$38,950","$32,915","$72,000","$26,600","$59,522",,,,"$39,000","$64,704",,"$352,000",,,,,"$336,000",,,,,,,,
Mike and Dave Need Wedding Dates (2016),"$3,157,155",,"$5,202,938","$430,857",,,"$1,648,587",,,"$1,507,286","$107,444","$487,051","$1,078,222","$306,957","$124,727","$782,898","$104,546","$81,022","$396,373","$330,008","$144,835",,,"$130,106","$132,179",,"$130,480","$2,860,880","$117,581","$310,630","$163,288","$508,420","$464,712",,,,"$398,941","$221,176",,"$60,092","$98,260","$80,859","$81,811","$81,460","$2,507,948","$498,904","$115,493",,,"$674,423",,,,,,,,,,,,,,"$521,494",,,,,,,,,,,,,
Ice Age: Collision Course (2016),"$9,433,096","$1,685,665","$9,032,605","$1,587,643","$735,631","$3,665,148","$15,055,431","$664,126","$64,063,008","$26,346,976","$1,539,975","$6,795,031","$3,398,535","$4,738,284","$9,693,616","$1,612,086","$1,896,217","$4,177,779","$1,097,597","$1,470,967","$6,133,974","$66,059,140",,"$2,352,367","$1,179,456","$869,482","$341,863","$24,698,308","$7,727,825","$1,372,312","$1,787,148","$2,669,466","$3,567,702","$2,174,609",,"$2,618,465","$1,517,310","$1,132,239",,"$865,808","$1,619,854","$748,541","$111,112","$514,189","$22,228,297","$25,021,273","$14,481,635","$7,514,381",,"$302,304","$1,497,623",,,,,,,,,,"$444,659","$620,618","$1,328,126","$6,858,685","$381,389","$727,136",,,"$1,636,460",,,,,,,,
Lights Out (2016),"$4,600,000",,"$2,500,000","$519,399",,"$7,923,193","$3,900,000","$730,031",,"$5,200,000","$250,104","$5,167,768","$875,000","$916,445","$1,800,000","$425,557","$523,619","$481,426","$115,924","$219,688","$1,737,449",,"$415,000","$771,000","$1,500,000",,,"$3,200,000","$841,878",,"$437,000",,"$450,000","$1,119,684",,,"$161,395","$188,899",,"$262,506","$63,803","$109,382","$108,595",,"$5,500,000","$3,802,300","$2,327,758",,,,"$303,307",,,,,,,,,,"$277,908","$109,587",,,,"$3,000,000",,,,,,,,,,,
Pete's Dragon (2016),"$6,853,715","$413,877","$5,504,529","$1,476,181","$1,287,611","$780,205","$3,552,491","$724,227",,"$5,243,276","$140,460","$3,910,561","$1,249,947","$535,667","$4,210,372","$223,874","$129,018","$340,885","$335,393","$471,906","$1,127,273",,"$987,921",,,"$707,124","$542,786","$2,392,549","$1,327,208","$1,074,147","$867,731","$353,647","$547,396","$1,670,170",,"$865,885","$199,303","$283,548",,"$41,998","$183,599","$22,729","$55,193","$9,245","$3,805,762","$1,219,228","$979,189","$755,620","$594,566",,"$301,483",,,,,,,,,"$536,117","$306,424","$89,501",,,"$46,211",,,,,,,,,,,,
Indignation (2016),"$54,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,391",,,,,"$35,508","$41,224",,,,,,,"$7,418",,"$72,696",,,,,"$41,102",,,,,,,,,,,,,,,,,,,,,,,,,,
Absolutely Fabulous: The Movie (2016),"$19,552,282",,"$6,216,295","$1,220,522",,,,,,"$4,870,830","$416,551","$25,794","$1,643,473","$239,704",,,,,,,,,,,,,,,,,"$169,396",,,,,,"$92,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They Will Have to Kill Us First: Malian Music In Exile (2015),"$7,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It Always Rains on Sunday (1947),"$24,037",,,,,,,,"$14,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Red Turtle (2016),"$3,433",,,,,"$4,986","$104,258","$5,668","$921,974","$2,492,967",,"$123,407","$702,475",,"$387,822","$30,491","$13,466","$6,027",,,,,,,,,"$43,310",$742,,,,,,,,,"$6,365","$1,866",,,,,,,"$87,233","$11,671",,,,,"$50,225",,,,,,,,,,,,,,,,,,,,,,,,,,
"Life, Animated (2016)","$51,065",,,,,"$13,800","$1,284",,,,,,"$21,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Innocents (2016),"$139,108",,"$106,662","$216,570",,"$43,359",,,,"$4,449,794","$26,074","$223,596","$31,551","$74,129","$208,211",,,,,"$27,334",,,,,,,,,"$177,803","$203,227",,,,,,,,,,,,"$5,453",,,"$96,107","$180,383","$97,686",,,,"$16,599",,,,,,,,,,,"$10,990",,,,,,,,,,,,,,,
Eat That Question (2016),"$5,253",,,,,,,,,,,"$2,601",,,,,,,,,,,,,,,,,,,,"$2,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nerve (2016),"$3,074,151","$11,082","$3,442,468","$516,989","$308,783","$204,342","$2,536,904","$236,745",,"$5,389,455","$299,706","$1,635,178","$841,883","$268,149","$1,287,041","$544,012","$191,471","$236,745","$331,432","$74,438","$524,232","$1,719,814","$184,500","$849,431","$665,457","$459,177","$481,424","$6,480,293","$710,759","$1,045,926","$276,857","$739,614","$706,586","$148,627",,"$445,404","$121,669","$448,288",,"$111,957","$127,815","$102,001","$50,129","$51,518","$1,198,538","$1,722,520","$208,780","$707,147","$324,215","$1,622,124","$14,264","$70,115","$94,437","$136,102","$120,106","$119,778","$85,793","$3,964","$37,953","$35,832","$18,786","$114,015","$57,760","$876,824","$15,636",,,"$17,694","$154,500","$123,006","$18,854","$14,444",,,,,
Sully (2016),"$9,073,950",,"$9,874,868","$1,263,362",,"$4,483,609","$2,448,889","$988,725",,"$8,250,742","$240,258","$4,135,018","$1,194,038","$295,552","$7,316,089","$224,549","$359,681","$667,089","$425,596","$1,005,655","$663,015","$8,985,153","$12,031,043","$1,700,000","$2,900,000",,,"$1,191,915","$606,530",,,,,"$3,524,970",,,"$337,924","$368,267",,"$149,516","$86,263","$69,576","$167,626","$41,503","$2,690,379","$1,890,445","$1,782,678",,,,"$1,087,698",,,,,,,,,,"$84,148","$101,584",,,"$48,173","$1,300,000",,,,,,,,,,,
The Son of Joseph (2016),"$4,225",,,,,,,,,,,"$3,961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Student (2016),"$1,903",,,,,,"$247,417",,,,,,,,,$759,,,,,"$43,776",,,,,,,,,,,,,,,,,"$3,056",,,,,,,,,,,,,"$20,086",,,,,,,,,,,,,,,,,,,,,,,,,,
Sultan (2016),"$1,358,423","$62,830,000","$988,232","$454,679",,,,,"$6,200,000",,,"$39,428",,"$91,034",,,,"$37,357",,,,"$5,259,463",,,,,,,,,,,,"$5,712,327",,,,"$2,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kismat Konnection (2008),"$532,706","$8,341,392","$82,342","$11,069","$11,474",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,738",,,
The Infiltrator (2016),"$1,365,290",,,,,"$39,980","$678,075",,,"$1,658,399",,"$229,925","$413,175",,,,,,"$76,520","$53,120","$38,395",,,,,,,,,,,,,"$167,959",,,"$32,496",,,,"$37,317",,"$57,072",,"$358,597","$151,432","$202,905",,,,,,,,,,,,,,"$5,651","$7,994",,,,,,,,,,,,,,,
War Dogs (2016),"$4,700,000",,"$3,100,000","$422,638",,,"$4,311,543",,,"$3,758,656","$471,492","$1,849,090","$1,200,000","$788,801","$2,537,742","$626,534","$119,727",,"$510,638","$616,691","$147,009",,,"$258,000","$348,000",,,"$2,524,553","$678,948",,,,"$204,000","$1,272,750",,,"$142,739","$270,022",,"$159,632","$96,165","$158,161","$173,304","$85,326","$505,000","$355,000","$296,893",,,,$108,,,,,,,,,,"$49,531","$40,578",,,"$18,497",,,,,,,,,,,,
A Beautiful Planet (2016),"$4,388",,"$472,596","$7,771",,,"$77,701",,"$15,650,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author: The JT LeRoy Story (2016),"$1,687",,,,,,,,"$85,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,022",,,,,,,,,,,,,,,,,,,,,,,,,,
