imdbId,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Canada,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Saudi Arabia,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,Baltic States,Bangladesh,Central America+,Cyprus,Czech Republic/Slovakia,Djibouti,East Africa,Lebanon/United Arab Emirates,Lesser Antilles,Mauritius,Middle East,Middle East Other,Middle East/UAE,Morocco,New Caledonia,Palestine,Reunion,Russia/CIS/Ukraine,Sri Lanka,Tunisia,West Indies,Greece and Cyprus,Ireland,S/E/W Africa,Syria,Yugoslavia,Costa Rica,Honduras,Nicaragua,Switzerland (Italian),El Salvador,Guatemala,Netherlands Antilles,North Macedonia,South Africa/Nigeria,Switzerland (French/Italian),E/W Africa,Laos,Bosnia,Soviet Union,Malta
3623726,Ricki and the Flash (2015),"$320,555",,"$2,121,567","$198,447","$7,829","$57,429","$10,168","$553,986",,,,,"$20,910",,"$20,804","$45,904",,"$194,557","$79,466",,,"$41,771",,"$19,678",,"$45,331","$699,591","$1,250,529",,"$124,444",,"$56,141",,"$39,467",,,"$164,404","$815,236",,"$260,768",,,,"$21,511","$24,173","$10,058",,"$296,730",,"$164,334","$236,207",,,,,,,"$37,722","$23,704","$525,261","$201,998",,"$4,769","$39,020",,"$150,726",,,,"$81,099",,"$51,918","$107,836","$2,014,409","$159,201",,"$119,357","$322,694",,,,"$64,376",,"$63,730","$334,055","$28,895","$436,923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3417756,Shrew's Nest (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3904770,August Winds (2014),"$1,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3767372,Piku (2015),,,"$219,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,813",,,,"$32,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$369,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2848292,Pitch Perfect 2 (2015),"$51,980",,"$20,939,529","$2,306,456","$34,012","$785,140","$4,780","$408,278","$12,805",,,,"$18,994",,"$18,384","$40,626",,"$63,350","$124,803",,,"$49,780","$38,347","$25,255",,,"$1,861,016","$11,353,367",,,"$433,047","$222,570","$181,542","$47,616",,,"$278,493","$579,652",,,"$44,393","$40,436",,"$27,006","$80,575","$26,741","$2,127,666","$695,136",,"$2,347,107","$3,317,703","$32,263","$925,082","$33,307",,,,"$89,387","$4,638,129","$79,150","$113,858",,"$71,839",,,"$249,581",,"$16,292","$2,260,864","$12,674","$99,884","$2,028,415","$395,314","$2,866,318","$992,716",,,"$934,399","$4,377,856","$247,626",,,"$72,845",,"$27,259,230","$3,678","$325,706","$126,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2318440,Adventure Planet (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$569,436",,,,,,,"$166,222",,,,,,,"$551,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0428283,A Buddha (2005),"$62,675",,,,,,,"$54,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4341806,El Bosque de Karadima (2015),"$3,321",,,,,,,,,,,,"$1,360,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0434541,Macbeth (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074610,Bad Hair (2013),"$4,983",,,,,,,"$75,250","$2,503",,,,,,,,,,,,,,,,,,"$90,944","$3,456",,,,,,,,,,,,,,,,,,,,"$3,512",,,,,,,,,,,,,,,,,,,,,,,,,,"$58,384",,,,,,,,,,,,,"$2,415,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2402927,Carol (2015),"$241,409",,"$1,991,360","$324,167",,"$499,339",,"$516,428","$15,899",,,,"$41,893",,"$26,970","$36,593",,"$13,285","$938,217","$12,711,491",,,,,,"$217,847","$2,310,137","$1,628,387",,"$276,781","$447,366",,"$5,392",,,,,"$2,150,706",,"$1,003,366",,,,,,,,"$308,056",,"$992,406","$214,726",,"$114,573",,,,,"$48,794",,,"$242,127",,,"$1,795",,"$204,240",,,"$117,804","$18,729","$16,434","$39,837","$2,273,431","$1,979,507","$827,485",,"$132,918","$222,383","$267,581","$45,399",,"$163,285",,,"$3,976,888","$23,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3488328,Pound of Flesh (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$58,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0400234,Black Friday (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,575,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325977,Strangerland (2015),,,,,,,,,,,,,,,"$11,083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,776",,"$14,523",,,,,,,,,,,,,,,"$18,511",,,,,"$22,881",,"$3,836",,,,,,,,,,,,,,,,"$13,662","$3,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726889,You Don't Choose Your Family (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$562,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0489751,The Hands (2006),"$513,709",,,,,,,"$2,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935302,Monsters: Dark Continent (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$134,573",,,,,,,,,,,,,,,,,,,,,,"$7,613",,,,,,,,,,,"$76,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3464902,The Lobster (2015),,,"$409,297",,,"$313,446",,,,,,,,,,"$14,250",,"$7,030",,"$9,077,245",,,,,,"$70,080","$983,184",,,"$422,213",,,,,,,,"$655,254",,,,,,,,,,,,,,,"$129,892",,,,,,,"$70,246","$33,030",,,,,,,,,,"$18,975",,"$441,326","$347,049",,,,,,"$237,724",,"$114,580",,,"$4,083,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3163304,The Farewell Party (2014),,,,"$38,791",,"$44,170",,"$24,869",,,,,,,,,,,,,,,,,,,,"$381,410",,,,,,,,,,,,,,,,,,,,"$21,583",,"$52,603",,,"$19,171",,,,,,,,"$2,313",,,,,,,,,,,,,"$174,352","$19,409",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3499048,Gueros (2014),,,,,,,,,,,,,,,,,,,,"$60,114",,,,,,,,,,,,,,,,,,"$15,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881002,Maggie (2015),,,,,,,,,,,,,,,,,,,,"$187,112",,,"$8,206",,,,"$328,085",,,,"$3,458",,,,,,,"$337,960",,,"$1,429",,,,"$6,124",,"$126,791",,,,,,"$3,629","$8,515",,,,,"$84,770",,"$28,682",,,,,,,,"$75,542",,,,"$269,113","$72,133",,,,,"$25,454","$61,324",,,,,,,,"$34,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2967224,Hot Pursuit (2015),"$103,801",,"$1,309,511","$214,617","$105,468",,"$38,581","$64,904","$73,662",,,,"$73,405",,"$567,879","$75,607",,"$44,982",,,,"$184,855","$55,171","$44,149",,,,"$629,798",,"$54,055",,"$213,667","$42,532","$14,208",,,"$337,061","$110,370",,,"$37,592","$17,507",,"$30,836","$129,338","$31,957",,"$2,562,573",,,"$186,032",,"$86,810","$36,199",,,,"$530,839","$153,051","$193,267","$253,618",,"$114,498","$146,288",,"$1,678,657",,"$17,707","$232,283","$24,574","$26,836","$154,422",,,"$51,367",,,"$126,022","$344,925",,,,"$87,351",,"$1,097,359","$41,364","$1,554,169","$69,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3205376,Slow West (2015),,,,"$28,467",,,,,,,,,,,,"$1,481",,,"$19,829",,,,,,,,,"$225,445",,,,,,,,,,,,,,,,,,,,,,"$41,172","$34,551",,,,,,,,,"$24,382",,,,,,"$16,153",,,,,,,"$58,134","$36,616",,,,,,,,"$8,771",,"$11,865","$559,614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403021,The Green Inferno (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,412","$65,480","$107,965",,,,,,,"$686,113",,,,,,"$2,868",,"$28,549","$139,084",,,,,,"$38,080",,,,,,"$64,178",,,,,"$87,381",,"$3,836,651",,,"$40,005",,"$5,136",,,$768,,,,,"$300,613","$25,360",,,"$6,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731701,Barely Lethal (2015),,,,,,,"$5,854",,,,,,,,,,,,,,,,"$18,634",,,,,,,,,,,,,,,,,,,"$3,766",,"$4,264","$14,826",,,,,,,,,"$37,942",,,,"$169,138",,,"$12,917",,"$31,143",,,"$146,642",,,"$28,897",,,,,,,,,,,"$151,975",,,"$33,899","$227,036",,,,"$40,839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3321300,MI-5 (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$266,720",,,,,,,,,,,,,,,"$75,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534634,The Fencer (2015),"$47,443",,"$275,741",,,,,,,,,,,,,,,,,"$95,952",,,,,,"$689,477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$174,947",,,,,,,,,,,"$5,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813327,The Salt of Life (2011),"$93,112",,,"$37,987",,"$72,510",,,,,,,,,,,,,,,,,,,,,"$355,663","$124,927",,"$23,963",,,,,,,,"$1,135,249",,,,,,,,,,,,,"$87,230",,,,,,,,,,,,,,,,,,,,,,,"$292,873",,,,,,,,,,,"$293,474","$16,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0778631,Brave Story (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,194","$6,576",,,"$1,641",,,,,,,,,"$10,948,620",,,,,,,"$4,247",,,,,,,,,,,,,,,,,,,,,,,,,,"$176,764",,,,,,"$7,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486678,5 to 7 (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,413",,,,,,,,,,,"$1,035",,,"$8,356","$18,746","$4,030",,"$259,757",,"$11,303","$6,396",,,,,,,,,,,,,,,"$120,909",,,,,,"$33,210","$22,004",,,,,,,,,,"$13,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2219650,Seymour: An Introduction (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,489",,,,,,,,,,,,,,,,,,,,,,,"$138,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0494239,Jardins en automne (2006),"$82,676",,,,,,,,,,,,,,,,,,,,,,,,,,"$127,555",,,,,"$1,995",,,,,,"$274,758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0416292,A Driver for Vera (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,630,000",,,,,,,,,,,,,,,,"$14,294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217565,Radio Day (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,723,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3659388,The Martian (2015),"$2,521,251",,"$20,059,738","$1,950,707","$430,063","$3,015,771","$165,002","$7,513,748","$482,577",,,"$405,642","$1,601,936","$94,932,731","$1,332,885","$378,608",,"$1,692,105","$2,741,163","$228,433,663",,"$647,961",,"$434,235","$7,710","$1,652,611","$19,827,502","$16,288,605","$531,361","$730,032","$5,800,790","$1,438,744","$208,735","$4,794,800",,,"$1,803,695","$7,683,880",,"$26,943,966",,"$61,257",,"$241,030","$425,526","$418,769","$1,940,583","$7,759,156",,"$3,784,584","$2,652,035","$64,657","$2,959,468","$300,511",,,,"$1,517,516","$1,482,431","$2,770,676","$1,023,508","$370,492","$497,491","$1,109,125",,"$17,706,103",,"$279,145","$2,974,435","$426,452","$158,817","$536,967","$32,104,850","$12,629,290","$4,971,913",,"$1,415,711","$2,377,554","$5,623,332","$1,675,663",,"$2,721,339","$1,547,429","$3,338,808","$33,937,841","$113,731","$3,441,610","$361,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447364,Detective Byomkesh Bakshy! (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,725,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$248,382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2556308,Holiday (2014),,,"$181,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,608",,,,,,,,,,,,,,,,,,,,,"$51,556",,,,,,,,,,,,,"$415,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266093,NoBody's Perfect (2008),,,,,,,,,,,,,,,,,,,,"$2,122",,,,,,,,"$28,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3697626,A Hard Day (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,451,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3312830,Youth (2015),"$84,899",,"$650,071","$218,793",,"$529,858",,"$229,295","$18,612",,,,,,,,,"$236,109","$301,809",,,,,"$21,373",,"$58,166","$2,096,942","$1,712,737",,"$325,305","$73,366","$214,177","$12,138",,,,,"$6,828,961",,,,,,"$61,509",,"$156,039",,"$62,962",,"$1,437,309","$136,469",,"$78,800",,,,,,,"$580,976","$101,057",,,"$32,399",,"$503,557",,"$23,053",,"$50,668","$52,142","$62,487","$538,017","$1,212,155",,,"$196,447","$390,091","$54,667",,,"$45,214",,,"$1,367,668","$9,947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324059,Wake Up Sid (2009),,,"$68,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,111,717",,,,,,,,,,,,,"$13,167",,,,"$11,070",,,,,,,,,,,,,,,,,,,,,"$17,891",,,,,,,,,,,,,"$337,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0323013,Lakshya (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$466,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3247714,Survivor (2015),,,,,,,,,,,,,,"$1,360,000",,,,,,,,,,,,,,,,,"$158,849",,,,,,,,,"$139,558",,,,,,,"$103,670",,,,,,,,,,,,"$35,402",,,,,,,,,,"$36,847",,,,,,,,,,,"$357,190",,,,,,,,"$63,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0995031,Bhool Bhulaiyaa (2007),,,"$129,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,471,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,374,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0490210,Sarkar Raj (2008),,,"$225,723",,,"$11,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,096,779",,,,,,,,,"$51,993",,,,"$10,526",,,,,,,,,,,,,,,,,,,,,,,,,"$35,715",,,,,,,,,,,,,"$719,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0457875,Ek Ajnabee (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3079380,Spy (2015),"$326,314",,"$10,618,884","$790,870","$762,345","$1,365,114","$55,284","$1,646,246","$234,702",,,,"$146,431",,"$598,359","$145,939",,"$151,541","$885,042",,,"$166,378","$320,465","$209,375",,,"$5,051,047","$5,091,471",,"$504,722","$2,808,351","$911,718","$158,849","$673,866",,,"$1,321,318","$2,598,913",,,"$341,905","$50,755",,"$108,458","$710,330","$71,467","$2,116,476","$3,776,833",,"$2,101,632","$1,410,989","$62,540","$1,237,851","$227,736",,,,"$611,000","$564,330","$854,718","$735,775",,"$582,674",,,"$7,916,829",,"$94,923","$1,230,662","$44,272","$54,130","$1,042,856","$16,180,715","$2,211,482","$1,712,847",,"$227,145","$976,807","$5,255,286","$1,134,696",,"$743,222","$885,359","$3,164,058","$14,990,584","$156,103","$1,590,851","$509,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0823671,Tinker Bell (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,818,895",,,,,,,,,,,,,,,,,,,,,,,,,,"$409,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2896036,Living Is Easy with Eyes Closed (2013),,,"$264,379",,,,,,,,,,,,"$26,606",,,,,,,,,,,,,,,,,,,,,,,"$123,140",,,,,,,,,,,,,"$27,207",,,,,,,,,,,,,,,,,,,,,,,"$2,622,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0800159,Pingpong (2006),,,,,,,,,,,,,"$3,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
